name,posY,posX
가락시장,37.492522,127.118234
종로3가,37.571607,126.991806
오금,37.502162,127.128111
동대문,37.57142,127.009745
동대문역사문화공원,37.565138,127.007896
충무로,37.561243,126.99428
서울역,37.554648,126.972559
신도림,37.508725,126.891295
이촌,37.522272,126.974345
왕십리,37.561533,127.037732
시청,37.564718,126.977108
교대,37.493415,127.01408
신설동,37.575297,127.025087
강변,37.535095,127.094681
까치산,37.531768,126.846683
을지로3가,37.566295,126.99191
홍대입구,37.557192,126.925381
광운대,37.623632,127.061835
상봉,37.596362,127.085032
망우,37.59955,127.091909
영등포구청,37.52497,126.895951
신길,37.517122,126.917169
을지로4가,37.566941,126.998079
합정,37.549463,126.913739
공덕,37.544018,126.951592
삼각지,37.534777,126.97311
약수,37.55434,127.010655
신당,37.565972,127.01782
동묘앞,37.572627,127.016429
석계,37.614805,127.065851
도봉산,37.689313,127.046222
불광,37.610469,126.929887
연신내,37.619001,126.921008
금정,37.372221,126.943429
수원,37.265974,126.999874
원인재,37.412603,126.687389
회기,37.58946,127.057583
대곡,37.631626,126.811024
디지털미디어시티,37.576646,126.900984
회룡,37.724846,127.046895
판교,37.394761,127.111217
오이도,37.362357,126.738714
이매,37.396104,127.12827
선정릉,37.51098,127.043593
종합운동장,37.510997,127.073642
천호,37.538397,127.123572
창동,37.653166,127.047731
사당,37.47653,126.981685
노원,37.655128,127.061368
군자,37.557121,127.079542
건대입구,37.540693,127.07023
고속터미널,37.50481,127.004943
총신대입구(이수),37.486263,126.981989
대림,37.49297,126.895801
가산디지털단지,37.481072,126.882343
온수,37.492258,126.823388
부평구청,37.508336,126.720548
잠실,37.51395,127.102234
복정,37.470047,127.126662
모란,37.43213,127.129087
부평,37.489493,126.724805
당산,37.53438,126.902281
여의도,37.521624,126.924191
동작,37.502971,126.979306
김포공항,37.562434,126.801058
강남,37.497175,127.027926
양재,37.484147,127.034631
정자,37.36706,127.108105
강남구청,37.517186,127.04128
선릉,37.504503,127.049008
효창공원앞,37.539261,126.961351
태릉입구,37.617983,127.07512
검암,37.569104,126.673728
주안,37.464941,126.679923
인천,37.476691,126.616936
인천시청,37.457405,126.702221
청량리,37.580178,127.046835
중랑,37.594917,127.076116
충정로,37.559973,126.963672
청구,37.560245,127.013828
성신여대입구,37.592624,127.016403
보문,37.585286,127.019381
계양,37.571462,126.735637
기흥,37.275619,127.115936
옥수,37.540685,127.017965
도곡,37.490858,127.055381
수서,37.487371,127.10188
용산,37.529849,126.964561
종각,37.570161,126.982923
종로5가,37.570926,127.001849
제기동,37.578103,127.034893
을지로입구,37.566014,126.982618
탑석,37.733579,127.088704
4·19민주묘지,37.649593,127.013746
가오리,37.641701,127.016792
화계,37.634802,127.017519
한티,37.496237,127.052873
구룡,37.486839,127.058856
홍제,37.589066,126.943736
김유정,37.818466,127.71434
남춘천,37.864007,127.723792
성균관대,37.300349,126.97075
경찰병원,37.495918,127.12454
구일,37.496756,126.870793
야탑,37.411185,127.128715
삼송,37.653083,126.895558
화정,37.634592,126.83265
영등포시장,37.522669,126.905139
상일동,37.556712,127.166417
공릉,37.625742,127.072896
상도,37.502834,126.94791
박촌,37.553703,126.745077
구성,37.298969,127.105664
인하대,37.448493,126.649619
숭의,37.460789,126.638297
센트럴파크,37.393054,126.634729
국제업무지구,37.399907,126.630347
강매,37.612314,126.843223
달월,37.379681,126.745177
원흥,37.650658,126.872642
완정,37.592928,126.673203
지평,37.476444,127.629617
석바위시장,37.457611,126.692575
상왕십리,37.564354,127.029354
한양대,37.555273,127.043655
뚝섬,37.547184,127.047367
성수,37.544581,127.055961
청계산입구,37.447211,127.055664
북한산우이,37.663146,127.012789
구의,37.537077,127.085916
잠실나루,37.520733,127.10379
잠실새내,37.511687,127.086162
삼성,37.508844,127.06316
역삼,37.500622,127.036456
서초,37.491897,127.007917
방배,37.481426,126.997596
낙성대,37.47693,126.963693
서울대입구,37.481247,126.952739
봉천,37.482362,126.941892
신림,37.484201,126.929715
